'dai'yun'di'yu 待运地域
'dai'zhan 待战
'dan'bing 单兵
'dan'bing'fu'he 单兵负荷
'dan'bing'huo'jian 单兵火箭
'dan'bing'wu'qi 单兵武器
'dan'bing'zhuang'bei 单兵装备
'dan'che 单车
'dan'fang 单方
'dan'ge 单个
'dan'ge'jiao'lian 单个教练
'dan'ge'mu'biao 单个目标
'dan'guan 单管
'dan'jian 单舰
'dan'jian'gong'ji 单舰攻击
'dan'jian'xun'lian 单舰训练
'dan'jian 单箭
'dan'lie 单列
'dan'lie'di'lei 单列地雷
'dan'ren 单人
'dan'ren'yan'ti 单人掩体
'dan'shao 单哨
'dan'ting 单艇
'dan'ting'gong'ji 单艇攻击
'dan'wei'ya'li 单位压力
'dan'xiang 单向
'dan'xiang'wen'ding'qi 单向稳定器
'dan'xiang'yun'shu 单向运输
'tan'ce'fa 弹测法
'dan'ce'fa 弹测法
'tan'zhang 弹长
'tan'chang 弹长
'dan'zhang 弹长
'dan'chang 弹长
'dan'dai 弹带
'dan'dao 弹道
'dan'dao'di 弹道低
'dan'dao'gao 弹道高
'dan'dao'ji'suan 弹道计算
'dan'dao'qie'xian 弹道切线
'dan'dao'xue 弹道学
'dan'dao'yao'su 弹道要素
'dan'dao'zhun'bei 弹道准备
'tan'er 弹耳
'dan'er 弹耳
'tan'ji 弹迹
'dan'ji 弹迹
'tan'jing 弹径
'dan'jing 弹径
'dan'ke 弹壳
'dan'keng'qiao 弹坑桥
'dan'mu'she'ji 弹幕射击
'tan'she'qi 弹射器
'tan'she'tiao'san 弹射跳伞
'dan'ti 弹体
'dan'tou 弹头
'dan'tou'dong'neng 弹头动能
'dan'tou'huo'li 弹头活力
'dan'tou'zhong'dian 弹头终点
'dan'wan 弹丸
'dan'yao 弹药
'dan'yao'biao'ji 弹药标记
'dan'yao'ji'shu 弹药基数
'dan'yao'ku 弹药库
'dan'yao'suo 弹药所
'dan'zhuo'dian 弹着点
'dan'shui 淡水
'dan'hua'qian 氮化铅
'dang'mian'qing'kuang 当面情况
'dang'mian'zhi'di 当面之敌
'dang'qian'ren'wu 当前任务
'dang'ri'ren'wu 当日任务
'dang'ni'ban 挡泥板
'dang'ri 党日
'dang'wei'zhi 党委制
'dao'bao'suo 导爆索
'dao'biao 导标
'dao'dan 导弹
